route,page_title,role,workspace,top_level_nav,subnav,page_type,public_or_private,expected_audience,actual_audience,primary_action,has_breadcrumbs,has_back_path,has_workspace_chip,has_role_chip,has_bot_panel,mobile_ready,notes
/operations?workspace=platform&view=service_providers&section=marketing,Marketing,Super Admin,Platform,Service Providers,Marketing,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=service_providers&section=leads,Leads,Super Admin,Platform,Service Providers,Leads,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=service_providers&section=communications,Communications,Super Admin,Platform,Service Providers,Communications,page,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=service_providers&section=settings,Settings,Super Admin,Platform,Service Providers,Settings,settings,private,Shloimie / platform operator,Admin/operator,Add Provider,true,true,true,true,true,,Too much not-configured/placeholder language.
/operations?workspace=platform&view=communications&section=overview,Overview,Super Admin,Platform,Communications,Overview,dashboard,private,Shloimie / platform operator,Admin/operator,New Message,true,true,true,true,true,,Too many card-like panels.
/operations?workspace=platform&view=communications&section=parents,Parents,Super Admin,Platform,Communications,Parents,page,private,Shloimie / platform operator,Admin/operator,New Message,true,true,true,true,true,,Too many card-like panels.
/operations?workspace=platform&view=communications&section=students,Students,Super Admin,Platform,Communications,Students,page,private,Shloimie / platform operator,Admin/operator,New Message,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=communications&section=providers,Providers,Super Admin,Platform,Communications,Providers,page,private,Shloimie / platform operator,Admin/operator,New Message,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=communications&section=internal,Internal,Super Admin,Platform,Communications,Internal,page,private,Shloimie / platform operator,Admin/operator,New Message,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=communications&section=whatsapp,Whatsapp,Super Admin,Platform,Communications,Whatsapp,page,private,Shloimie / platform operator,Admin/operator,New Message,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=communications&section=email,Email,Super Admin,Platform,Communications,Email,page,private,Shloimie / platform operator,Admin/operator,New Message,true,true,true,true,true,,Too many card-like panels.
/operations?workspace=platform&view=communications&section=bots,Bots,Super Admin,Platform,Communications,Bots,page,private,Shloimie / platform operator,Admin/operator,New Message,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=communications&section=templates,Templates,Super Admin,Platform,Communications,Templates,page,private,Shloimie / platform operator,Admin/operator,New Message,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=communications&section=settings,Settings,Super Admin,Platform,Communications,Settings,settings,private,Shloimie / platform operator,Admin/operator,New Message,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=internal_dialogue&section=overview,Overview,Super Admin,Platform,Internal Dialogue,Overview,dashboard,private,Shloimie / platform operator,Admin/operator,Uploads / Materials 0,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=internal_dialogue&section=shloimie_rabbi,Shloimie Rabbi,Super Admin,Platform,Internal Dialogue,Shloimie Rabbi,page,private,Shloimie / platform operator,Admin/operator,Uploads / Materials 0,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=internal_dialogue&section=meeting_notes,Meeting Notes,Super Admin,Platform,Internal Dialogue,Meeting Notes,page,private,Shloimie / platform operator,Admin/operator,Uploads / Materials 0,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=internal_dialogue&section=uploads,Uploads,Super Admin,Platform,Internal Dialogue,Uploads,page,private,Shloimie / platform operator,Admin/operator,Uploads / Materials 0,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=internal_dialogue&section=decisions,Decisions,Super Admin,Platform,Internal Dialogue,Decisions,page,private,Shloimie / platform operator,Admin/operator,Uploads / Materials 0,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=internal_dialogue&section=support,Support,Super Admin,Platform,Internal Dialogue,Support,page,private,Shloimie / platform operator,Admin/operator,Uploads / Materials 0,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=internal_dialogue&section=activity,Activity,Super Admin,Platform,Internal Dialogue,Activity,page,private,Shloimie / platform operator,Admin/operator,Uploads / Materials 0,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=accounting&section=overview,Overview,Super Admin,Platform,Accounting,Overview,dashboard,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=accounting&section=payments,Payments,Super Admin,Platform,Accounting,Payments,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=accounting&section=open,Open,Super Admin,Platform,Accounting,Open,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=accounting&section=paid,Paid,Super Admin,Platform,Accounting,Paid,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=accounting&section=needs_signup,Needs Signup,Super Admin,Platform,Accounting,Needs Signup,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=accounting&section=exceptions,Exceptions,Super Admin,Platform,Accounting,Exceptions,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=api_usage&section=overview,Overview,Super Admin,Platform,Api Usage,Overview,dashboard,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=api_usage&section=workspace,Workspace,Super Admin,Platform,Api Usage,Workspace,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=api_usage&section=parent,Parent,Super Admin,Platform,Api Usage,Parent,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=api_usage&section=student,Student,Super Admin,Platform,Api Usage,Student,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=api_usage&section=provider,Provider,Super Admin,Platform,Api Usage,Provider,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=api_usage&section=bot,Bot,Super Admin,Platform,Api Usage,Bot,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=api_usage&section=errors,Errors,Super Admin,Platform,Api Usage,Errors,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=api_usage&section=budgets,Budgets,Super Admin,Platform,Api Usage,Budgets,page,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=api_usage&section=settings,Settings,Super Admin,Platform,Api Usage,Settings,settings,private,Shloimie / platform operator,Admin/operator,New Task,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=admin&section=overview,Overview,Super Admin,Platform,Admin,Overview,dashboard,private,Shloimie / platform operator,Admin/operator,Add User,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=admin&section=users,Users,Super Admin,Platform,Admin,Users,page,private,Shloimie / platform operator,Admin/operator,Add User,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=admin&section=roles,Roles,Super Admin,Platform,Admin,Roles,page,private,Shloimie / platform operator,Admin/operator,Add User,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=admin&section=workspaces,Workspaces,Super Admin,Platform,Admin,Workspaces,page,private,Shloimie / platform operator,Admin/operator,Add User,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=admin&section=invitations,Invitations,Super Admin,Platform,Admin,Invitations,page,private,Shloimie / platform operator,Admin/operator,Add User,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=admin&section=tickets,Tickets,Super Admin,Platform,Admin,Tickets,page,private,Shloimie / platform operator,Admin/operator,Add User,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=admin&section=messages,Messages,Super Admin,Platform,Admin,Messages,page,private,Shloimie / platform operator,Admin/operator,Add User,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=admin&section=settings,Settings,Super Admin,Platform,Admin,Settings,settings,private,Shloimie / platform operator,Admin/operator,Add User,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=settings&section=profile,Profile,Super Admin,Platform,Settings,Profile,settings,private,Shloimie / platform operator,Admin/operator,Save Settings,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
/operations?workspace=platform&view=settings&section=workspace,Workspace,Super Admin,Platform,Settings,Workspace,settings,private,Shloimie / platform operator,Admin/operator,Save Settings,true,true,true,true,true,,No major automated issue detected; manual designer review still required.
