Canonical URL,Implementation,Audience,Authentication,Entry point,Back path,Inbound links,Outbound links,Status,Dependencies,Review state,Registry surface,Discovered as
/api/bna/providers,server.js:44341,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/providers/:id,server.js:44357 | server.js:44367,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-patch
/api/bna/providers/:id/approve,server.js:44451,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/providers/:id/feature,server.js:44504,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/providers/:id/hide,server.js:44483,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/rabbi/access-grants,server.js:74241,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/rabbi/access-grants/:id/revoke,server.js:74301,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/rabbi/access-grants/manual,server.js:74260,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/rabbi/checkouts,server.js:73986,one time,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-get
/api/bna/rabbi/checkouts/:id,server.js:74095,one time,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-patch
/api/bna/rabbi/checkouts/:id/mark-abandoned,server.js:74119,one time,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-post
/api/bna/rabbi/checkouts/manual,server.js:74005,one time,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-post
/api/bna/rabbi/communications,server.js:74506,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/rabbi/communications/send,server.js:74523,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/rabbi/config,server.js:73783 | server.js:73821,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-patch
/api/bna/rabbi/library-items,server.js:74331 | server.js:74344,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/rabbi/library-items/:id,server.js:74378,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/rabbi/live-sessions,server.js:74419 | server.js:74432,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
