id,label,group,viewport,rating,status,screenshot,url,visibleButtonCount,visibleLinkCount,disabledButtonCount
operations-platform-contacts-overview,Operations / Platform / Super Admin / Contacts / Overview,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-contacts-overview.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=contacts&section=overview,31,1,0
operations-platform-contacts-interested_parents,Operations / Platform / Super Admin / Contacts / Interested Parents,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-contacts-interested_parents.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=contacts&section=interested_parents,31,1,0
operations-platform-contacts-parents,Operations / Platform / Super Admin / Contacts / Parents,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-contacts-parents.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=contacts&section=parents,31,1,0
operations-platform-contacts-people,Operations / Platform / Super Admin / Contacts / People,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-contacts-people.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=contacts&section=people,31,1,0
operations-platform-contacts-contacts,Operations / Platform / Super Admin / Contacts / Contacts,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-contacts-contacts.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=contacts&section=contacts,31,1,0
operations-platform-contacts-notes,Operations / Platform / Super Admin / Contacts / Notes,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-contacts-notes.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=contacts&section=notes,31,1,0
operations-platform-contacts-students,Operations / Platform / Super Admin / Contacts / Students,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-contacts-students.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=contacts&section=students,31,1,0
operations-platform-contacts-intake,Operations / Platform / Super Admin / Contacts / Intake,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-contacts-intake.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=contacts&section=intake,31,1,0
operations-platform-contacts-follow_up,Operations / Platform / Super Admin / Contacts / Follow Up,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-contacts-follow_up.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=contacts&section=follow_up,31,1,0
operations-platform-contacts-tags,Operations / Platform / Super Admin / Contacts / Tags,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-contacts-tags.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=contacts&section=tags,31,1,0
operations-platform-content-library,Operations / Platform / Super Admin / Content / Library,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-content-library.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=content&section=library,31,1,0
operations-platform-content-meetings,Operations / Platform / Super Admin / Content / Meetings,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-content-meetings.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=content&section=meetings,31,1,0
operations-platform-content-research,Operations / Platform / Super Admin / Content / Research,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-content-research.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=content&section=research,31,1,0
operations-platform-content-selected,Operations / Platform / Super Admin / Content / Selected,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-content-selected.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=content&section=selected,31,1,0
operations-platform-content-repurpose,Operations / Platform / Super Admin / Content / Repurpose,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-content-repurpose.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=content&section=repurpose,31,1,0
operations-platform-content-newsletter,Operations / Platform / Super Admin / Content / Newsletter,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-content-newsletter.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=content&section=newsletter,31,1,0
operations-platform-content-prompts,Operations / Platform / Super Admin / Content / Prompts,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-content-prompts.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=content&section=prompts,31,1,0
operations-platform-content-bundles,Operations / Platform / Super Admin / Content / Bundles,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-content-bundles.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=content&section=bundles,31,1,0
operations-platform-calendar-overview,Operations / Platform / Super Admin / Calendar / Overview,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-calendar-overview.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=calendar&section=overview,29,1,0
operations-platform-calendar-week,Operations / Platform / Super Admin / Calendar / Week,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-calendar-week.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=calendar&section=week,25,1,0
operations-platform-calendar-month,Operations / Platform / Super Admin / Calendar / Month,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-calendar-month.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=calendar&section=month,25,1,0
operations-platform-calendar-classes,Operations / Platform / Super Admin / Calendar / Classes,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-calendar-classes.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=calendar&section=classes,25,1,0
operations-platform-calendar-students,Operations / Platform / Super Admin / Calendar / Students,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-calendar-students.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=calendar&section=students,25,1,0
operations-platform-calendar-provider,Operations / Platform / Super Admin / Calendar / Provider,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-calendar-provider.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=calendar&section=provider,25,1,0
operations-platform-calendar-google_sync,Operations / Platform / Super Admin / Calendar / Google Sync,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-calendar-google_sync.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=calendar&section=google_sync,25,1,0
operations-platform-calendar-settings,Operations / Platform / Super Admin / Calendar / Settings,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-calendar-settings.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=calendar&section=settings,25,1,0
operations-platform-service_providers-overview,Operations / Platform / Super Admin / Service Providers / Overview,Operations,desktop,8.6,ok,screenshots/desktop/operations-platform-service_providers-overview.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=overview,34,1,0
operations-platform-service_providers-directory,Operations / Platform / Super Admin / Service Providers / Directory,Operations,desktop,8.6,ok,screenshots/desktop/operations-platform-service_providers-directory.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=directory,30,1,0
operations-platform-service_providers-workspaces,Operations / Platform / Super Admin / Service Providers / Workspaces,Operations,desktop,7,ok,screenshots/desktop/operations-platform-service_providers-workspaces.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=workspaces,75,16,0
operations-platform-service_providers-commercial,Operations / Platform / Super Admin / Service Providers / Commercial,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-service_providers-commercial.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=commercial,34,1,0
operations-platform-service_providers-plans,Operations / Platform / Super Admin / Service Providers / Plans,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-service_providers-plans.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=plans,30,1,0
operations-platform-service_providers-onboarding,Operations / Platform / Super Admin / Service Providers / Onboarding,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-service_providers-onboarding.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=onboarding,30,1,0
operations-platform-service_providers-access_checklist,Operations / Platform / Super Admin / Service Providers / Access Checklist,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-service_providers-access_checklist.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=access_checklist,30,1,0
operations-platform-service_providers-integration_audit,Operations / Platform / Super Admin / Service Providers / Integration Audit,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-service_providers-integration_audit.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=integration_audit,30,1,0
operations-platform-service_providers-communities,Operations / Platform / Super Admin / Service Providers / Communities,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-service_providers-communities.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=communities,31,1,1
operations-platform-service_providers-content,Operations / Platform / Super Admin / Service Providers / Content,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-service_providers-content.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=content,31,2,0
operations-platform-service_providers-marketing,Operations / Platform / Super Admin / Service Providers / Marketing,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-service_providers-marketing.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=marketing,31,1,1
